"Name","DisplayName","Status"
"AJRouter","AllJoyn Router Service","Stopped"
"ALG","Application Layer Gateway Service","Stopped"
"AppIDSvc","Application Identity","Stopped"
"AppMgmt","Application Management","Stopped"
"AppReadiness","App Readiness","Stopped"
"AppVClient","Microsoft App-V Client","Stopped"
"AppXSvc","AppX Deployment Service (AppXSVC)","Stopped"
"AssignedAccessManagerSvc","AssignedAccessManager Service","Stopped"
"AxInstSV","ActiveX Installer (AxInstSV)","Stopped"
"BcastDVRUserService_6b15a","GameDVR and Broadcast User Service_6b15a","Stopped"
"BDESVC","BitLocker Drive Encryption Service","Stopped"
"BITS","Background Intelligent Transfer Service","Stopped"
"BluetoothUserService_6b15a","Bluetooth User Support Service_6b15a","Stopped"
"BTAGService","Bluetooth Audio Gateway Service","Stopped"
"BthAvctpSvc","AVCTP service","Stopped"
"bthserv","Bluetooth Support Service","Stopped"
"camsvc","Capability Access Manager Service","Stopped"
"CaptureService_6b15a","CaptureService_6b15a","Stopped"
"CertPropSvc","Certificate Propagation","Stopped"
"ClipSVC","Client License Service (ClipSVC)","Stopped"
"ConsentUxUserSvc_6b15a","ConsentUX_6b15a","Stopped"
"CscService","Offline Files","Stopped"
"defragsvc","Optimize drives","Stopped"
"DeviceAssociationService","Device Association Service","Stopped"
"DevicePickerUserSvc_6b15a","DevicePicker_6b15a","Stopped"
"DevicesFlowUserSvc_6b15a","DevicesFlow_6b15a","Stopped"
"DevQueryBroker","DevQuery Background Discovery Broker","Stopped"
"diagnosticshub.standardcollector.service","Microsoft (R) Diagnostics Hub Standard Collector Service","Stopped"
"diagsvc","Diagnostic Execution Service","Stopped"
"DisplayEnhancementService","Display Enhancement Service","Stopped"
"DmEnrollmentSvc","Device Management Enrollment Service","Stopped"
"dmwappushservice","Device Management Wireless Application Protocol (WAP) Push message Routing Service","Stopped"
"DoSvc","Delivery Optimization","Stopped"
"dot3svc","Wired AutoConfig","Stopped"
"DPS","Diagnostic Policy Service","Stopped"
"DsmSvc","Device Setup Manager","Stopped"
"DsSvc","Data Sharing Service","Stopped"
"DusmSvc","Data Usage","Stopped"
"Eaphost","Extensible Authentication Protocol","Stopped"
"EFS","Encrypting File System (EFS)","Stopped"
"embeddedmode","Embedded Mode","Stopped"
"EntAppSvc","Enterprise App Management Service","Stopped"
"Fax","Fax","Stopped"
"fdPHost","Function Discovery Provider Host","Stopped"
"FDResPub","Function Discovery Resource Publication","Stopped"
"fhsvc","File History Service","Stopped"
"FrameServer","Windows Camera Frame Server","Stopped"
"GoogleChromeElevationService","Google Chrome Elevation Service (GoogleChromeElevationService)","Stopped"
"GoogleUpdaterInternalService130.0.6679.0","GoogleUpdater InternalService 130.0.6679.0 (GoogleUpdaterInternalService130.0.6679.0)","Stopped"
"GoogleUpdaterService130.0.6679.0","GoogleUpdater Service 130.0.6679.0 (GoogleUpdaterService130.0.6679.0)","Stopped"
"GraphicsPerfSvc","GraphicsPerfSvc","Stopped"
"hidserv","Human Interface Device Service","Stopped"
"HvHost","HV Host Service","Stopped"
"icssvc","Windows Mobile Hotspot Service","Stopped"
"IKEEXT","IKE and AuthIP IPsec Keying Modules","Stopped"
"InstallService","Microsoft Store Install Service","Stopped"
"IpxlatCfgSvc","IP Translation Configuration Service","Stopped"
"irmon","Infrared monitor service","Stopped"
"KtmRm","KtmRm for Distributed Transaction Coordinator","Stopped"
"lfsvc","Geolocation Service","Stopped"
"lltdsvc","Link-Layer Topology Discovery Mapper","Stopped"
"LxpSvc","Language Experience Service","Stopped"
"MapsBroker","Downloaded Maps Manager","Stopped"
"MessagingService_6b15a","MessagingService_6b15a","Stopped"
"MSiSCSI","Microsoft iSCSI Initiator Service","Stopped"
"msiserver","Windows Installer","Stopped"
"NaturalAuthentication","Natural Authentication","Stopped"
"NcaSvc","Network Connectivity Assistant","Stopped"
"NcdAutoSetup","Network Connected Devices Auto-Setup","Stopped"
"Netlogon","Netlogon","Stopped"
"Netman","Network Connections","Stopped"
"NetSetupSvc","Network Setup Service","Stopped"
"NetTcpPortSharing","Net.Tcp Port Sharing Service","Stopped"
"NgcCtnrSvc","Microsoft Passport Container","Stopped"
"NgcSvc","Microsoft Passport","Stopped"
"p2pimsvc","Peer Networking Identity Manager","Stopped"
"p2psvc","Peer Networking Grouping","Stopped"
"PeerDistSvc","BranchCache","Stopped"
"perceptionsimulation","Windows Perception Simulation Service","Stopped"
"PerfHost","Performance Counter DLL Host","Stopped"
"PhoneSvc","Phone Service","Stopped"
"PimIndexMaintenanceSvc_6b15a","Contact Data_6b15a","Stopped"
"pla","Performance Logs & Alerts","Stopped"
"PNRPAutoReg","PNRP Machine Name Publication Service","Stopped"
